Name: Rue Marsoulan, Instruction: Head northeast on Rue Marsoulan, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 169.8 meters, Time: 122.3 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Turn right, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 156.4 meters, Time: 112.6 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Rue de Lagny, Instruction: Turn right onto Rue de Lagny, Distance: 80.2 meters, Time: 57.7 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 53.8 meters, Time: 38.7 seconds
Name: -, Instruction: Turn right, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Keep left, Distance: 92.7 meters, Time: 66.7 seconds
Name: -, Instruction: Turn right, Distance: 120.1 meters, Time: 86.5 seconds
Name: -, Instruction: Turn slight right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 570.0 meters, Time: 410.4 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Keep right, Distance: 60.2 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 155.6 meters, Time: 112.0 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: Rue Florian, Instruction: Turn left onto Rue Florian, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight left, Distance: 98.7 meters, Time: 71.0 seconds
Name: Place Saint-Blaise, Instruction: Turn left onto Place Saint-Blaise, Distance: 4.8 meters, Time: 3.5 seconds
Name: Place Saint-Blaise, Instruction: Turn right onto Place Saint-Blaise, Distance: 5.9 meters, Time: 4.2 seconds
Name: Place Saint-Blaise, Instruction: Turn left onto Place Saint-Blaise, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: Rue des Prairies, Instruction: Continue straight onto Rue des Prairies, Distance: 6.6 meters, Time: 4.7 seconds
Name: Rue des Prairies, Instruction: Turn slight left onto Rue des Prairies, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Keep left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue de l'Indre, Instruction: Turn right onto Rue de l'Indre, Distance: 100.6 meters, Time: 72.4 seconds
Name: Rue Pelleport, Instruction: Turn left onto Rue Pelleport, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Arrive at Rue Pelleport, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
