Name: Rue de Trucy, Instruction: Head south on Rue de Trucy, Distance: 157.1 meters, Time: 113.1 seconds
Name: Rue de l'Avenir, Instruction: Turn right onto Rue de l'Avenir, Distance: 280.2 meters, Time: 201.7 seconds
Name: Place Diderot, Instruction: Continue straight onto Place Diderot, Distance: 25.9 meters, Time: 18.7 seconds
Name: Place Diderot, Instruction: Turn right onto Place Diderot, Distance: 86.4 meters, Time: 62.2 seconds
Name: Rue de la Jarry, Instruction: Continue straight onto Rue de la Jarry, Distance: 565.3 meters, Time: 407.0 seconds
Name: Rue de la Jarry, Instruction: Continue straight onto Rue de la Jarry, Distance: 134.4 meters, Time: 96.8 seconds
Name: Rue de Fontenay, D 143, Instruction: Turn right onto Rue de Fontenay, D 143, Distance: 161.6 meters, Time: 116.3 seconds
Name: Rue de Condé-sur-Noireau, Instruction: Turn left onto Rue de Condé-sur-Noireau, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 46.1 meters, Time: 33.2 seconds
Name: Rue Eugène Renaud, Instruction: Turn left onto Rue Eugène Renaud, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Keep right, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Keep right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn slight left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn slight left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight left, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 157.5 meters, Time: 113.4 seconds
Name: -, Instruction: Keep left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 35.9 meters, Time: 25.8 seconds
Name: -, Instruction: Keep right, Distance: 97.6 meters, Time: 70.3 seconds
Name: -, Instruction: Turn left, Distance: 154.6 meters, Time: 111.3 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Keep right, Distance: 142.3 meters, Time: 102.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
