Name: Rue Montorgueil, Instruction: Head south on Rue Montorgueil, Distance: 6.7 meters, Time: 4.9 seconds
Name: Rue de Turbigo, Instruction: Turn right onto Rue de Turbigo, Distance: 16.5 meters, Time: 11.9 seconds
Name: Rue de Turbigo, Instruction: Keep left onto Rue de Turbigo, Distance: 38.1 meters, Time: 27.4 seconds
Name: Rue Rambuteau, Instruction: Turn right onto Rue Rambuteau, Distance: 58.0 meters, Time: 41.8 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: Allée Saint-John Perse, Instruction: Turn right onto Allée Saint-John Perse, Distance: 70.0 meters, Time: 50.4 seconds
Name: Rue Clémence Royer, Instruction: Turn sharp left onto Rue Clémence Royer, Distance: 22.3 meters, Time: 16.1 seconds
Name: Rue de Viarmes, Instruction: Turn right onto Rue de Viarmes, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: Place des Deux Écus, Instruction: Turn right onto Place des Deux Écus, Distance: 9.6 meters, Time: 6.9 seconds
Name: Place des Deux Écus, Instruction: Keep left onto Place des Deux Écus, Distance: 29.0 meters, Time: 20.8 seconds
Name: -, Instruction: Continue straight, Distance: 138.7 meters, Time: 99.9 seconds
Name: -, Instruction: Turn left, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 23.0 meters, Time: 16.5 seconds
Name: -, Instruction: Turn slight left, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Continue straight, Distance: 0.9 meters, Time: 0.7 seconds
Name: -, Instruction: Continue straight, Distance: 156.1 meters, Time: 112.4 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn right, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Keep right, Distance: 62.0 meters, Time: 44.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn slight right, Distance: 395.6 meters, Time: 284.8 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn slight left, Distance: 210.8 meters, Time: 151.8 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: Rue Saint-Guillaume, Instruction: Turn left onto Rue Saint-Guillaume, Distance: 25.2 meters, Time: 18.2 seconds
Name: -, Instruction: Arrive at Rue Saint-Guillaume, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
