Name: Avenue de Clichy, Instruction: Head southeast on Avenue de Clichy, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 43.0 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 164.3 meters, Time: 118.3 seconds
Name: -, Instruction: Turn right, Distance: 128.1 meters, Time: 92.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: Rue Ganneron, Instruction: Turn left onto Rue Ganneron, Distance: 351.6 meters, Time: 253.1 seconds
Name: Rue Lamarck, Instruction: Keep right onto Rue Lamarck, Distance: 389.3 meters, Time: 280.3 seconds
Name: Rue Duhesme, Instruction: Keep left onto Rue Duhesme, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Keep right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 275.2 meters, Time: 198.1 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 284.6 meters, Time: 204.9 seconds
Name: -, Instruction: Turn right, Distance: 85.9 meters, Time: 61.8 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
