Name: Place de la Madeleine, Instruction: Head southeast on Place de la Madeleine, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 137.2 meters, Time: 98.8 seconds
Name: -, Instruction: Turn slight right, Distance: 171.7 meters, Time: 123.6 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 110.1 meters, Time: 79.3 seconds
Name: Place de la Concorde, Instruction: Turn left onto Place de la Concorde, Distance: 44.7 meters, Time: 32.2 seconds
Name: Place de la Concorde, Instruction: Turn sharp right onto Place de la Concorde, Distance: 96.7 meters, Time: 69.6 seconds
Name: -, Instruction: Turn left, Distance: 105.6 meters, Time: 76.0 seconds
Name: Fer à Cheval, Instruction: Turn right onto Fer à Cheval, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn right, Distance: 225.7 meters, Time: 162.5 seconds
Name: -, Instruction: Turn right, Distance: 55.2 meters, Time: 39.7 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: Passerelle Léopold-Sédar-Senghor, Instruction: Turn right onto Passerelle Léopold-Sédar-Senghor, Distance: 3.7 meters, Time: 2.7 seconds
Name: Passerelle Léopold-Sédar-Senghor, Instruction: Keep right onto Passerelle Léopold-Sédar-Senghor, Distance: 145.3 meters, Time: 104.6 seconds
Name: -, Instruction: Turn left, Distance: 119.5 meters, Time: 86.0 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
