Name: Rue Paul Bert, Instruction: Head north on Rue Paul Bert, Distance: 221.6 meters, Time: 159.5 seconds
Name: Rue Mongenot, Instruction: Turn sharp right onto Rue Mongenot, Distance: 212.9 meters, Time: 153.3 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 30.8 meters, Time: 22.2 seconds
Name: Accès Parking Charles Digeon, Instruction: Turn left onto Accès Parking Charles Digeon, Distance: 6.3 meters, Time: 4.5 seconds
Name: Accès Parking Charles Digeon, Instruction: Continue straight onto Accès Parking Charles Digeon, Distance: 6.6 meters, Time: 4.8 seconds
Name: Avenue de Liège, Instruction: Turn right onto Avenue de Liège, Distance: 22.9 meters, Time: 16.5 seconds
Name: Avenue Gambetta, Instruction: Keep left onto Avenue Gambetta, Distance: 416.4 meters, Time: 299.8 seconds
Name: Avenue Gambetta, Instruction: Continue straight onto Avenue Gambetta, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: Avenue Pasteur, Instruction: Turn left onto Avenue Pasteur, Distance: 15.0 meters, Time: 10.8 seconds
Name: Avenue Aubert, Instruction: Keep left onto Avenue Aubert, Distance: 441.0 meters, Time: 317.5 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 273.2 meters, Time: 196.7 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Keep right, Distance: 8.6 meters, Time: 6.2 seconds
Name: Avenue de la République, D 220, Instruction: Turn left onto Avenue de la République, D 220, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Arrive at Avenue de la République, D 220, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
