Name: Place de la République, Instruction: Head southeast on Place de la République, Distance: 67.8 meters, Time: 48.8 seconds
Name: Rue Aristide Briand, Instruction: Turn left onto Rue Aristide Briand, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Turn slight right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn slight left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 202.3 meters, Time: 145.6 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 73.0 meters, Time: 52.5 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Rue du Président Wilson, Instruction: Turn right onto Rue du Président Wilson, Distance: 12.2 meters, Time: 8.8 seconds
Name: Rue de Courcelles, Instruction: Continue straight onto Rue de Courcelles, Distance: 201.5 meters, Time: 145.1 seconds
Name: Rue de Courcelles, Instruction: Continue straight onto Rue de Courcelles, Distance: 126.3 meters, Time: 90.9 seconds
Name: -, Instruction: Turn left, Distance: 278.6 meters, Time: 200.6 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 41.6 meters, Time: 30.0 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 82.3 meters, Time: 59.3 seconds
Name: -, Instruction: Turn right, Distance: 164.1 meters, Time: 118.2 seconds
Name: Rue Rennequin, Instruction: Turn left onto Rue Rennequin, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 96.8 meters, Time: 69.7 seconds
Name: -, Instruction: Keep left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn slight right, Distance: 177.1 meters, Time: 127.5 seconds
Name: Rue Saussier-Leroy, Instruction: Turn left onto Rue Saussier-Leroy, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Arrive at Rue Saussier-Leroy, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
