Name: Boulevard du Montparnasse, Instruction: Head southeast on Boulevard du Montparnasse, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn left, Distance: 292.9 meters, Time: 210.9 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 161.1 meters, Time: 116.0 seconds
Name: -, Instruction: Keep left, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn slight left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep right, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Keep left, Distance: 116.3 meters, Time: 83.7 seconds
Name: -, Instruction: Keep right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Keep right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Keep right, Distance: 117.7 meters, Time: 84.7 seconds
Name: Rue de Rennes, Instruction: Keep right onto Rue de Rennes, Distance: 112.7 meters, Time: 81.1 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 123.6 meters, Time: 89.0 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: Rue de Mézières, Instruction: Turn right onto Rue de Mézières, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: Place Saint-Sulpice, Instruction: Turn right onto Place Saint-Sulpice, Distance: 9.5 meters, Time: 6.8 seconds
Name: Place Saint-Sulpice, Instruction: Continue straight onto Place Saint-Sulpice, Distance: 69.6 meters, Time: 50.1 seconds
Name: Place Saint-Sulpice, Instruction: Turn left onto Place Saint-Sulpice, Distance: 55.8 meters, Time: 40.1 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn left, Distance: 35.1 meters, Time: 25.2 seconds
Name: Place August Strindberg, Instruction: Keep right onto Place August Strindberg, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 96.6 meters, Time: 69.5 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 94.5 meters, Time: 68.1 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn slight left, Distance: 71.9 meters, Time: 51.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.9 meters, Time: 7.1 seconds
Name: Carrefour de l'Odéon, Instruction: Turn left onto Carrefour de l'Odéon, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at Carrefour de l'Odéon, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
