Name: Rue Charles Leroy, Instruction: Head northeast on Rue Charles Leroy, Distance: 91.3 meters, Time: 65.7 seconds
Name: Avenue de la Porte de Choisy, Instruction: Turn left onto Avenue de la Porte de Choisy, Distance: 207.9 meters, Time: 149.7 seconds
Name: Place de Port-au-Prince, Instruction: Keep left onto Place de Port-au-Prince, Distance: 146.8 meters, Time: 105.7 seconds
Name: Boulevard Masséna, Instruction: Turn left onto Boulevard Masséna, Distance: 53.1 meters, Time: 38.2 seconds
Name: Boulevard Masséna, Instruction: Keep right onto Boulevard Masséna, Distance: 26.4 meters, Time: 19.0 seconds
Name: Boulevard Masséna, Instruction: Turn slight left onto Boulevard Masséna, Distance: 50.0 meters, Time: 36.0 seconds
Name: Rue Paulin Enfert, Instruction: Turn right onto Rue Paulin Enfert, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 162.6 meters, Time: 117.0 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn slight right, Distance: 237.6 meters, Time: 171.0 seconds
Name: Rue du Colonel Dominé, Instruction: Turn left onto Rue du Colonel Dominé, Distance: 3.6 meters, Time: 2.6 seconds
Name: Boulevard Kellermann, Instruction: Turn right onto Boulevard Kellermann, Distance: 177.2 meters, Time: 127.6 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 89.6 meters, Time: 64.5 seconds
Name: -, Instruction: Turn left, Distance: 116.2 meters, Time: 83.7 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn left, Distance: 41.9 meters, Time: 30.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
