Name: Rue de la Noue, Instruction: Head north on Rue de la Noue, Distance: 77.7 meters, Time: 56.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 89.5 meters, Time: 64.4 seconds
Name: -, Instruction: Turn left, Distance: 128.4 meters, Time: 92.4 seconds
Name: -, Instruction: Keep right, Distance: 78.0 meters, Time: 56.2 seconds
Name: -, Instruction: Turn left, Distance: 104.6 meters, Time: 75.3 seconds
Name: -, Instruction: Keep left, Distance: 357.5 meters, Time: 257.4 seconds
Name: Rue Robespierre, Instruction: Turn sharp right onto Rue Robespierre, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Keep left, Distance: 81.2 meters, Time: 58.4 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.0 seconds
Name: -, Instruction: Turn slight right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: Rue des Champeaux, Instruction: Turn right onto Rue des Champeaux, Distance: 9.1 meters, Time: 6.5 seconds
Name: Rue des Champeaux, Instruction: Turn left onto Rue des Champeaux, Distance: 199.9 meters, Time: 143.9 seconds
Name: -, Instruction: Turn right, Distance: 78.3 meters, Time: 56.3 seconds
Name: -, Instruction: Turn right, Distance: 163.6 meters, Time: 117.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.7 meters, Time: 7.0 seconds
Name: Rue Joseph Python, Instruction: Turn right onto Rue Joseph Python, Distance: 136.1 meters, Time: 98.0 seconds
Name: -, Instruction: Turn left, Distance: 71.3 meters, Time: 51.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
