Name: Rue de Dantzig, Instruction: Head northeast on Rue de Dantzig, Distance: 250.3 meters, Time: 180.2 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 158.8 meters, Time: 114.3 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 413.0 meters, Time: 297.4 seconds
Name: -, Instruction: Turn slight left, Distance: 98.7 meters, Time: 71.1 seconds
Name: -, Instruction: Turn slight left, Distance: 176.1 meters, Time: 126.8 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 198.6 meters, Time: 143.0 seconds
Name: -, Instruction: Turn right, Distance: 60.8 meters, Time: 43.7 seconds
Name: -, Instruction: Turn left, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn left, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.4 seconds
Name: -, Instruction: Turn slight left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 0.1 meters, Time: 0.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
