Name: Rue des Poissonniers, Instruction: Head south on Rue des Poissonniers, Distance: 32.0 meters, Time: 23.1 seconds
Name: Rue du Professeur Gosset, Instruction: Turn right onto Rue du Professeur Gosset, Distance: 4.9 meters, Time: 3.5 seconds
Name: Avenue de la Porte des Poissonniers, Instruction: Turn sharp left onto Avenue de la Porte des Poissonniers, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Turn right, Distance: 136.7 meters, Time: 98.4 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Keep right, Distance: 119.3 meters, Time: 85.9 seconds
Name: Avenue de la Porte des Poissonniers, Instruction: Turn right onto Avenue de la Porte des Poissonniers, Distance: 13.8 meters, Time: 9.9 seconds
Name: Boulevard Ney, Instruction: Turn left onto Boulevard Ney, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn right, Distance: 441.6 meters, Time: 317.9 seconds
Name: -, Instruction: Turn slight right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 338.0 meters, Time: 243.4 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Keep right, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn slight right, Distance: 71.5 meters, Time: 51.5 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: Rue Léon, Instruction: Turn right onto Rue Léon, Distance: 403.9 meters, Time: 290.8 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
