Name: Rue Daumier, Instruction: Head east on Rue Daumier, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 171.9 meters, Time: 123.7 seconds
Name: -, Instruction: Turn slight right, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn slight left, Distance: 103.2 meters, Time: 74.3 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn right, Distance: 240.0 meters, Time: 172.8 seconds
Name: -, Instruction: Turn left, Distance: 108.3 meters, Time: 78.0 seconds
Name: -, Instruction: Keep left, Distance: 73.7 meters, Time: 53.0 seconds
Name: -, Instruction: Turn right, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn right, Distance: 203.5 meters, Time: 146.5 seconds
Name: -, Instruction: Turn slight right, Distance: 77.6 meters, Time: 55.9 seconds
Name: -, Instruction: Turn left, Distance: 74.5 meters, Time: 53.6 seconds
Name: -, Instruction: Turn right, Distance: 102.4 meters, Time: 73.8 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
