Name: Rua Barcelos Domingos, Instruction: Head south on Rua Barcelos Domingos, Distance: 467.0 meters, Time: 336.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 25.8 meters, Time: 18.6 seconds
Name: Rua Campo Grande, Instruction: Turn right onto Rua Campo Grande, Distance: 274.6 meters, Time: 197.7 seconds
Name: -, Instruction: Turn right, Distance: 79.6 meters, Time: 57.3 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 54.4 meters, Time: 39.2 seconds
Name: -, Instruction: Turn right, Distance: 36.1 meters, Time: 26.0 seconds
Name: Terminal Rodoviário de Campo Grande, Instruction: Turn left onto Terminal Rodoviário de Campo Grande, Distance: 66.3 meters, Time: 47.8 seconds
Name: Terminal Rodoviário de Campo Grande, Instruction: Keep right onto Terminal Rodoviário de Campo Grande, Distance: 20.9 meters, Time: 15.0 seconds
Name: Rua Itaobim, Instruction: Turn right onto Rua Itaobim, Distance: 17.8 meters, Time: 12.8 seconds
Name: Rua Iaçu, Instruction: Turn sharp left onto Rua Iaçu, Distance: 355.5 meters, Time: 255.9 seconds
Name: Rua Tabelião Pinto, Instruction: Turn left onto Rua Tabelião Pinto, Distance: 55.1 meters, Time: 39.7 seconds
Name: Rua Xavier Marques, Instruction: Turn right onto Rua Xavier Marques, Distance: 86.2 meters, Time: 62.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 31.1 meters, Time: 22.4 seconds
Name: Avenida Cesário de Melo, Instruction: Turn right onto Avenida Cesário de Melo, Distance: 30.2 meters, Time: 21.7 seconds
Name: Avenida Cesário de Melo, Instruction: Turn sharp left onto Avenida Cesário de Melo, Distance: 52.7 meters, Time: 37.9 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 725.6 meters, Time: 522.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
