Name: Rua Niltinho Tristeza, Instruction: Head north on Rua Niltinho Tristeza, Distance: 25.7 meters, Time: 18.5 seconds
Name: Avenida Darcy Bitencourt Costa, Instruction: Turn left onto Avenida Darcy Bitencourt Costa, Distance: 399.2 meters, Time: 287.4 seconds
Name: Avenida Darcy Bitencourt Costa, Instruction: Keep right onto Avenida Darcy Bitencourt Costa, Distance: 122.1 meters, Time: 87.9 seconds
Name: Rua Ministro Moreira de Abreu, Instruction: Turn sharp right onto Rua Ministro Moreira de Abreu, Distance: 188.3 meters, Time: 135.6 seconds
Name: Estrada José Rucas, Instruction: Turn left onto Estrada José Rucas, Distance: 51.7 meters, Time: 37.3 seconds
Name: Rua General Rocha Calado, Instruction: Turn right onto Rua General Rocha Calado, Distance: 117.4 meters, Time: 84.5 seconds
Name: Rua Jacupema, Instruction: Turn left onto Rua Jacupema, Distance: 387.7 meters, Time: 279.1 seconds
Name: Rua Jacupema, Instruction: Turn slight right onto Rua Jacupema, Distance: 58.9 meters, Time: 42.4 seconds
Name: Estrada da Penha, Instruction: Turn slight left onto Estrada da Penha, Distance: 377.3 meters, Time: 271.7 seconds
Name: Largo da Penha, Instruction: Keep right onto Largo da Penha, Distance: 52.3 meters, Time: 37.6 seconds
Name: Largo da Penha, Instruction: Turn sharp left onto Largo da Penha, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: Largo da Penha, Instruction: Turn right onto Largo da Penha, Distance: 15.2 meters, Time: 11.0 seconds
Name: Rua dos Romeiros, Instruction: Turn left onto Rua dos Romeiros, Distance: 206.1 meters, Time: 148.4 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
