Name: Rua Guatemala, Instruction: Head northwest on Rua Guatemala, Distance: 73.5 meters, Time: 52.9 seconds
Name: Rua Ingaí, Instruction: Turn right onto Rua Ingaí, Distance: 388.5 meters, Time: 279.7 seconds
Name: Avenida Brasil, Instruction: Turn left onto Avenida Brasil, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 112.5 meters, Time: 81.0 seconds
Name: Avenida Guanabara, Instruction: Turn right onto Avenida Guanabara, Distance: 33.1 meters, Time: 23.9 seconds
Name: Avenida Guanabara, Instruction: Turn right onto Avenida Guanabara, Distance: 71.6 meters, Time: 51.6 seconds
Name: -, Instruction: Turn right, Distance: 282.1 meters, Time: 203.1 seconds
Name: -, Instruction: Keep right, Distance: 99.3 meters, Time: 71.5 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 135.6 meters, Time: 97.7 seconds
Name: -, Instruction: Keep left, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn slight left, Distance: 125.5 meters, Time: 90.4 seconds
Name: -, Instruction: Turn left, Distance: 74.4 meters, Time: 53.6 seconds
Name: -, Instruction: Turn right, Distance: 617.8 meters, Time: 444.8 seconds
Name: -, Instruction: Turn right, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
