Name: Vila Adolfo Konder, Instruction: Head southeast on Vila Adolfo Konder, Distance: 123.2 meters, Time: 88.7 seconds
Name: Estrada do Itararé, Instruction: Turn right onto Estrada do Itararé, Distance: 44.3 meters, Time: 31.9 seconds
Name: Rua Aristóteles Ferreira, Instruction: Turn sharp right onto Rua Aristóteles Ferreira, Distance: 161.9 meters, Time: 116.6 seconds
Name: -, Instruction: Keep right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Keep left, Distance: 86.2 meters, Time: 62.1 seconds
Name: Rua do Reservatório, Instruction: Turn right onto Rua do Reservatório, Distance: 108.9 meters, Time: 78.4 seconds
Name: Rua A, Instruction: Turn left onto Rua A, Distance: 112.3 meters, Time: 80.9 seconds
Name: -, Instruction: Turn right, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn left, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Turn slight right, Distance: 35.7 meters, Time: 25.7 seconds
Name: Rua Sete de Setembro, Instruction: Turn left onto Rua Sete de Setembro, Distance: 47.6 meters, Time: 34.3 seconds
Name: Rua do Coqueiro, Instruction: Turn sharp right onto Rua do Coqueiro, Distance: 61.9 meters, Time: 44.5 seconds
Name: -, Instruction: Turn left, Distance: 52.7 meters, Time: 37.9 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Keep left, Distance: 87.3 meters, Time: 62.9 seconds
Name: Rua Ararua, Instruction: Turn right onto Rua Ararua, Distance: 70.1 meters, Time: 50.5 seconds
Name: Rua Joaquim de Queiroz, Instruction: Turn right onto Rua Joaquim de Queiroz, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Continue straight, Distance: 63.3 meters, Time: 45.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
