Name: Rua Marolo, Instruction: Head southeast on Rua Marolo, Distance: 189.6 meters, Time: 136.5 seconds
Name: Rua da Reverência, Instruction: Turn right onto Rua da Reverência, Distance: 179.7 meters, Time: 129.4 seconds
Name: Estrada Calmete, Instruction: Turn right onto Estrada Calmete, Distance: 26.2 meters, Time: 18.9 seconds
Name: Estrada Calmete, Instruction: Turn sharp left onto Estrada Calmete, Distance: 28.1 meters, Time: 20.2 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn right onto Estrada dos Bandeirantes, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 26.8 meters, Time: 19.3 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn right onto Estrada dos Bandeirantes, Distance: 25.5 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn right, Distance: 25.8 meters, Time: 18.6 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn left onto Estrada dos Bandeirantes, Distance: 497.8 meters, Time: 358.4 seconds
Name: Rua Barra Bonita, Instruction: Turn left onto Rua Barra Bonita, Distance: 574.0 meters, Time: 413.3 seconds
Name: -, Instruction: Arrive at Rua Barra Bonita, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
