Name: Rua Professora Estelita Lins, Instruction: Head north on Rua Professora Estelita Lins, Distance: 156.5 meters, Time: 112.7 seconds
Name: Praça David Ben Gurion, Instruction: Keep right onto Praça David Ben Gurion, Distance: 103.2 meters, Time: 74.3 seconds
Name: -, Instruction: Keep right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn slight left, Distance: 107.1 meters, Time: 77.1 seconds
Name: -, Instruction: Keep right, Distance: 217.1 meters, Time: 156.3 seconds
Name: -, Instruction: Keep left, Distance: 10.1 meters, Time: 7.3 seconds
Name: Rua Leite Leal, Instruction: Turn left onto Rua Leite Leal, Distance: 9.4 meters, Time: 6.8 seconds
Name: Rua das Laranjeiras, Instruction: Turn right onto Rua das Laranjeiras, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 399.2 meters, Time: 287.4 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 131.2 meters, Time: 94.5 seconds
Name: -, Instruction: Turn left, Distance: 240.9 meters, Time: 173.4 seconds
Name: Rua Gago Coutinho, Instruction: Turn left onto Rua Gago Coutinho, Distance: 67.1 meters, Time: 48.3 seconds
Name: Rua Gago Coutinho, Instruction: Turn right onto Rua Gago Coutinho, Distance: 166.8 meters, Time: 120.1 seconds
Name: Rua Marquesa de Santos, Instruction: Turn left onto Rua Marquesa de Santos, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Turn left, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
