Name: Avenida Carlos Zara, Instruction: Head east on Avenida Carlos Zara, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Keep left, Distance: 132.3 meters, Time: 95.3 seconds
Name: -, Instruction: Turn right, Distance: 180.9 meters, Time: 130.2 seconds
Name: Avenida Embaixador Abelardo Bueno, Instruction: Turn slight left onto Avenida Embaixador Abelardo Bueno, Distance: 83.2 meters, Time: 59.9 seconds
Name: -, Instruction: Turn right, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 805.1 meters, Time: 579.7 seconds
Name: Avenida Vice-Presidente José Alencar, Instruction: Turn left onto Avenida Vice-Presidente José Alencar, Distance: 122.2 meters, Time: 88.0 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 70.5 meters, Time: 50.7 seconds
Name: -, Instruction: Turn right, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
