Name: Peck Seah Street, Instruction: Head south on Peck Seah Street, Distance: 70.0 meters, Time: 50.4 seconds
Name: Gopeng Street, Instruction: Turn right onto Gopeng Street, Distance: 64.3 meters, Time: 46.3 seconds
Name: Tras Street, Instruction: Turn left onto Tras Street, Distance: 2.3 meters, Time: 1.6 seconds
Name: Tras Street, Instruction: Turn slight left onto Tras Street, Distance: 151.9 meters, Time: 109.4 seconds
Name: -, Instruction: Turn right, Distance: 85.2 meters, Time: 61.3 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 179.8 meters, Time: 129.4 seconds
Name: -, Instruction: Turn left, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn slight right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 116.0 meters, Time: 83.5 seconds
Name: -, Instruction: Turn left, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 72.7 meters, Time: 52.4 seconds
Name: -, Instruction: Turn left, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
