Name: Bukit Batok Street 52, Instruction: Head south on Bukit Batok Street 52, Distance: 102.5 meters, Time: 73.8 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 305.9 meters, Time: 220.2 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn slight right, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn right, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn right, Distance: 256.6 meters, Time: 184.7 seconds
Name: -, Instruction: Turn slight left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight right, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 48.8 meters, Time: 35.1 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
