Name: Bain Street, Instruction: Head northwest on Bain Street, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 339.4 meters, Time: 244.3 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 84.8 meters, Time: 61.0 seconds
Name: -, Instruction: Turn slight right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 334.1 meters, Time: 240.6 seconds
Name: -, Instruction: Turn right, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.2 seconds
Name: Jalan Besar, Instruction: Turn right onto Jalan Besar, Distance: 26.2 meters, Time: 18.8 seconds
Name: Mayo Street, Instruction: Turn left onto Mayo Street, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 57.8 meters, Time: 41.6 seconds
Name: Dunlop Street, Instruction: Turn left onto Dunlop Street, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Arrive at Dunlop Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
