Name: Mandai Link, Instruction: Head south on Mandai Link, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 148.8 meters, Time: 107.1 seconds
Name: -, Instruction: Turn right, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Turn left, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: Rail Corridor, Instruction: Turn left onto Rail Corridor, Distance: 378.4 meters, Time: 272.5 seconds
Name: -, Instruction: Turn right, Distance: 255.8 meters, Time: 184.2 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn slight left, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 963.3 meters, Time: 693.6 seconds
Name: -, Instruction: Keep left, Distance: 347.6 meters, Time: 250.3 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
