Name: Yio Chu Kang Road, Instruction: Head south on Yio Chu Kang Road, Distance: 26.4 meters, Time: 19.0 seconds
Name: Buangkok Park Connector, Instruction: Turn left onto Buangkok Park Connector, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 397.6 meters, Time: 286.3 seconds
Name: -, Instruction: Turn slight left, Distance: 150.0 meters, Time: 108.0 seconds
Name: -, Instruction: Turn right, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 366.1 meters, Time: 263.6 seconds
Name: -, Instruction: Turn right, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Keep right, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 63.7 meters, Time: 45.8 seconds
Name: -, Instruction: Turn right, Distance: 143.1 meters, Time: 103.0 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn left, Distance: 74.9 meters, Time: 54.0 seconds
Name: -, Instruction: Turn right, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 210.0 meters, Time: 151.2 seconds
Name: -, Instruction: Turn right, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
