Name: Peck Seah Street, Instruction: Head south on Peck Seah Street, Distance: 70.0 meters, Time: 50.4 seconds
Name: Gopeng Street, Instruction: Turn left onto Gopeng Street, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 78.1 meters, Time: 56.2 seconds
Name: -, Instruction: Turn right, Distance: 190.7 meters, Time: 137.3 seconds
Name: -, Instruction: Turn left, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn slight right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Keep left, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 100.1 meters, Time: 72.0 seconds
Name: -, Instruction: Turn slight left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep right, Distance: 35.1 meters, Time: 25.2 seconds
Name: -, Instruction: Turn left, Distance: 94.6 meters, Time: 68.1 seconds
Name: -, Instruction: Turn left, Distance: 195.2 meters, Time: 140.5 seconds
Name: -, Instruction: Turn right, Distance: 262.2 meters, Time: 188.8 seconds
Name: -, Instruction: Turn left, Distance: 189.6 meters, Time: 136.5 seconds
Name: -, Instruction: Turn right, Distance: 217.3 meters, Time: 156.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
