Name: Dover Rise, Instruction: Head northeast on Dover Rise, Distance: 131.5 meters, Time: 94.6 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 189.6 meters, Time: 136.5 seconds
Name: -, Instruction: Turn right, Distance: 265.3 meters, Time: 191.0 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.1 seconds
Name: -, Instruction: Keep right, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Keep right, Distance: 295.6 meters, Time: 212.8 seconds
Name: -, Instruction: Turn left, Distance: 335.4 meters, Time: 241.5 seconds
Name: -, Instruction: Turn left, Distance: 114.8 meters, Time: 82.6 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
