Name: Jellicoe Road, Instruction: Head southwest on Jellicoe Road, Distance: 112.9 meters, Time: 81.3 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 57.8 meters, Time: 41.6 seconds
Name: Rochor Canal Road, Instruction: Turn right onto Rochor Canal Road, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Continue straight, Distance: 86.6 meters, Time: 62.3 seconds
Name: -, Instruction: Continue straight, Distance: 92.2 meters, Time: 66.4 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 83.7 meters, Time: 60.3 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 219.6 meters, Time: 158.1 seconds
Name: Minto Road, Instruction: Turn right onto Minto Road, Distance: 17.9 meters, Time: 12.9 seconds
Name: Jalan Sultan, Instruction: Turn left onto Jalan Sultan, Distance: 117.3 meters, Time: 84.4 seconds
Name: -, Instruction: Turn left, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 26.2 meters, Time: 18.8 seconds
Name: -, Instruction: Turn left, Distance: 23.8 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Continue straight, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 133.6 meters, Time: 96.2 seconds
Name: -, Instruction: Continue straight, Distance: 143.6 meters, Time: 103.4 seconds
Name: -, Instruction: Turn left, Distance: 28.2 meters, Time: 20.3 seconds
Name: Republic Avenue, Instruction: Turn right onto Republic Avenue, Distance: 188.7 meters, Time: 135.9 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: Republic Avenue, Instruction: Turn left onto Republic Avenue, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at Republic Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
