Name: Bain Street, Instruction: Head northwest on Bain Street, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 423.1 meters, Time: 304.7 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Keep right, Distance: 578.2 meters, Time: 416.3 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 37.4 meters, Time: 27.0 seconds
Name: -, Instruction: Continue straight, Distance: 98.8 meters, Time: 71.1 seconds
Name: -, Instruction: Turn right, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
