Name: Ferguson Street, Instruction: Head south on Ferguson Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 310.0 meters, Time: 223.2 seconds
Name: Garden Street, Instruction: Turn left onto Garden Street, Distance: 172.0 meters, Time: 123.8 seconds
Name: Garden Street, Instruction: Enter the roundabout and take the 2nd exit onto Garden Street, Distance: 180.2 meters, Time: 129.7 seconds
Name: Garden Street, Instruction: Enter the roundabout and take the 2nd exit onto Garden Street, Distance: 164.2 meters, Time: 118.2 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn slight left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 238.2 meters, Time: 171.5 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: Cooper Street, Instruction: Turn left onto Cooper Street, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Arrive at Cooper Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
