Name: Bentinck Drive, Instruction: Head east on Bentinck Drive, Distance: 227.9 meters, Time: 164.1 seconds
Name: -, Instruction: Turn right, Distance: 120.8 meters, Time: 87.0 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 615.5 meters, Time: 443.2 seconds
Name: -, Instruction: Keep right, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Continue straight, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Continue straight, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
