Name: Fontana Drive, Instruction: Head north on Fontana Drive, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 207.6 meters, Time: 149.5 seconds
Name: -, Instruction: Turn slight right, Distance: 81.9 meters, Time: 59.0 seconds
Name: -, Instruction: Keep right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn slight left, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Keep right, Distance: 6.0 meters, Time: 4.3 seconds
Name: Barlow Boulevard, Instruction: Turn left onto Barlow Boulevard, Distance: 433.2 meters, Time: 311.9 seconds
Name: Booroola Road, Instruction: Turn right onto Booroola Road, Distance: 77.3 meters, Time: 55.7 seconds
Name: Tyee Street, Instruction: Turn left onto Tyee Street, Distance: 267.7 meters, Time: 192.7 seconds
Name: -, Instruction: Arrive at Tyee Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
