Name: Australia Street, Instruction: Head north on Australia Street, Distance: 17.0 meters, Time: 12.2 seconds
Name: Adelaide Street, Instruction: Turn left onto Adelaide Street, Distance: 4.2 meters, Time: 3.0 seconds
Name: Adelaide Street, Instruction: Keep left onto Adelaide Street, Distance: 128.9 meters, Time: 92.8 seconds
Name: -, Instruction: Turn right, Distance: 157.5 meters, Time: 113.4 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 193.4 meters, Time: 139.3 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: Chapel Street, Instruction: Turn right onto Chapel Street, Distance: 8.9 meters, Time: 6.4 seconds
Name: Chapel Street, Instruction: Enter the roundabout and take the 3rd exit onto Chapel Street, Distance: 202.4 meters, Time: 145.7 seconds
Name: Chapel Street, Instruction: Keep right onto Chapel Street, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn slight left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight left, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 56.8 meters, Time: 40.9 seconds
Name: West Lane, Instruction: Turn left onto West Lane, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.9 seconds
Name: Carinya Avenue, Instruction: Turn left onto Carinya Avenue, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 70.2 meters, Time: 50.5 seconds
Name: -, Instruction: Turn left, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
