Name: Parramatta Valley Cycleway, Instruction: Head west on Parramatta Valley Cycleway, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 350.0 meters, Time: 252.0 seconds
Name: -, Instruction: Continue straight, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Continue straight, Distance: 88.4 meters, Time: 63.6 seconds
Name: -, Instruction: Turn left, Distance: 132.3 meters, Time: 95.2 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Keep right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 453.6 meters, Time: 326.6 seconds
Name: Rhodes Street, Instruction: Turn right onto Rhodes Street, Distance: 223.9 meters, Time: 161.2 seconds
Name: -, Instruction: Turn left, Distance: 320.1 meters, Time: 230.5 seconds
Name: Hermitage Road, Instruction: Turn right onto Hermitage Road, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 400.5 meters, Time: 288.4 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
