Name: Kingussie Avenue, Instruction: Head northwest on Kingussie Avenue, Distance: 37.6 meters, Time: 27.0 seconds
Name: -, Instruction: Turn right, Distance: 128.0 meters, Time: 92.2 seconds
Name: -, Instruction: Turn right, Distance: 181.5 meters, Time: 130.7 seconds
Name: Balintore Drive, Instruction: Turn left onto Balintore Drive, Distance: 388.3 meters, Time: 279.6 seconds
Name: -, Instruction: Turn left, Distance: 104.5 meters, Time: 75.2 seconds
Name: -, Instruction: Turn slight right, Distance: 50.5 meters, Time: 36.3 seconds
Name: -, Instruction: Turn right, Distance: 88.3 meters, Time: 63.6 seconds
Name: -, Instruction: Turn left, Distance: 243.0 meters, Time: 175.0 seconds
Name: Heritage Park Drive, Instruction: Turn right onto Heritage Park Drive, Distance: 271.5 meters, Time: 195.5 seconds
Name: Chelsea Road, Instruction: Turn sharp left onto Chelsea Road, Distance: 69.2 meters, Time: 49.8 seconds
Name: -, Instruction: Arrive at Chelsea Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
