Name: Bedwin Road, Instruction: Head north on Bedwin Road, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 249.6 meters, Time: 179.7 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 73.7 meters, Time: 53.1 seconds
Name: -, Instruction: Keep right, Distance: 137.0 meters, Time: 98.6 seconds
Name: -, Instruction: Turn slight left, Distance: 167.0 meters, Time: 120.3 seconds
Name: -, Instruction: Turn slight left, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 220.4 meters, Time: 158.7 seconds
Name: -, Instruction: Turn right, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn left, Distance: 343.3 meters, Time: 247.2 seconds
Name: -, Instruction: Continue straight, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 194.0 meters, Time: 139.7 seconds
Name: -, Instruction: Keep left, Distance: 248.4 meters, Time: 178.9 seconds
Name: Bourke Street Cycleway, Instruction: Turn slight right onto Bourke Street Cycleway, Distance: 42.3 meters, Time: 30.4 seconds
Name: -, Instruction: Keep right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn slight right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 29.5 meters, Time: 21.3 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight right, Distance: 207.2 meters, Time: 149.2 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: Bourke Street Cycleway, Instruction: Turn right onto Bourke Street Cycleway, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 90.1 meters, Time: 64.9 seconds
Name: Etherden Walk, Instruction: Turn left onto Etherden Walk, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 129.9 meters, Time: 93.5 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: Bourke Street, Instruction: Turn sharp left onto Bourke Street, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Arrive at Bourke Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
