Name: Carlyle Lane, Instruction: Head southeast on Carlyle Lane, Distance: 89.6 meters, Time: 64.5 seconds
Name: Carlyle Street, Instruction: Turn left onto Carlyle Street, Distance: 146.2 meters, Time: 105.2 seconds
Name: -, Instruction: Turn right, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 321.5 meters, Time: 231.5 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 58.4 meters, Time: 42.0 seconds
Name: Willoughby Lane, Instruction: Turn left onto Willoughby Lane, Distance: 116.3 meters, Time: 83.8 seconds
Name: Ernest Place, Instruction: Turn right onto Ernest Place, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 87.0 meters, Time: 62.6 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 33.1 meters, Time: 23.8 seconds
Name: Alexander Lane, Instruction: Turn left onto Alexander Lane, Distance: 60.4 meters, Time: 43.5 seconds
Name: Huntington Street, Instruction: Turn right onto Huntington Street, Distance: 212.6 meters, Time: 153.1 seconds
Name: Devonshire Street, Instruction: Turn left onto Devonshire Street, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn slight right, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Turn left, Distance: 177.3 meters, Time: 127.7 seconds
Name: Sexton Place, Instruction: Turn right onto Sexton Place, Distance: 8.1 meters, Time: 5.9 seconds
Name: West Street, Instruction: Turn left onto West Street, Distance: 15.7 meters, Time: 11.3 seconds
Name: West Street, Instruction: Keep right onto West Street, Distance: 22.8 meters, Time: 16.4 seconds
Name: Amherst Street, Instruction: Enter the roundabout and take the 1st exit onto Amherst Street, Distance: 282.4 meters, Time: 203.3 seconds
Name: -, Instruction: Arrive at Amherst Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
