Name: Millhouse Place, Instruction: Head southeast on Millhouse Place, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 416.2 meters, Time: 299.6 seconds
Name: -, Instruction: Turn slight left, Distance: 139.7 meters, Time: 100.6 seconds
Name: -, Instruction: Turn left, Distance: 912.8 meters, Time: 657.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn slight right, Distance: 51.5 meters, Time: 37.0 seconds
Name: -, Instruction: Turn left, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 299.9 meters, Time: 216.0 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn slight right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
