Name: 29, Instruction: Head southwest on 29, Distance: 19.1 meters, Time: 13.8 seconds
Name: AH, Instruction: Turn right onto AH, Distance: 171.1 meters, Time: 123.2 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: The Carriageway, Instruction: Turn right onto The Carriageway, Distance: 22.2 meters, Time: 16.0 seconds
Name: Westbourne Street, Instruction: Turn left onto Westbourne Street, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 198.7 meters, Time: 143.0 seconds
Name: -, Instruction: Turn left, Distance: 90.1 meters, Time: 64.9 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: Innes Road, Instruction: Turn left onto Innes Road, Distance: 392.4 meters, Time: 282.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 86.1 meters, Time: 62.0 seconds
Name: -, Instruction: Turn left, Distance: 313.0 meters, Time: 225.4 seconds
Name: River Road, Instruction: Turn right onto River Road, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 368.6 meters, Time: 265.4 seconds
Name: Fleming Street, Instruction: Turn right onto Fleming Street, Distance: 12.9 meters, Time: 9.3 seconds
Name: Northwood Road, Instruction: Turn right onto Northwood Road, Distance: 157.2 meters, Time: 113.2 seconds
Name: McMahons Road, Instruction: Turn sharp left onto McMahons Road, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 160.1 meters, Time: 115.2 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
