Name: Veronica Place, Instruction: Head southeast on Veronica Place, Distance: 457.8 meters, Time: 329.6 seconds
Name: -, Instruction: Turn slight left, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 288.7 meters, Time: 207.9 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: Waterworth Drive, Instruction: Turn left onto Waterworth Drive, Distance: 29.8 meters, Time: 21.5 seconds
Name: Waterworth Drive, Instruction: Enter the roundabout and take the 3rd exit onto Waterworth Drive, Distance: 157.5 meters, Time: 113.4 seconds
Name: Waterworth Drive, Instruction: Enter the roundabout and take the 1st exit onto Waterworth Drive, Distance: 157.8 meters, Time: 113.6 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn slight right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight right, Distance: 117.5 meters, Time: 84.6 seconds
Name: -, Instruction: Turn right, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 110.6 meters, Time: 79.6 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 122.0 meters, Time: 87.9 seconds
Name: -, Instruction: Turn right, Distance: 75.9 meters, Time: 54.7 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 294.9 meters, Time: 212.3 seconds
Name: Hartley Road, Instruction: Turn left onto Hartley Road, Distance: 72.3 meters, Time: 52.1 seconds
Name: McPherson Road, Instruction: Enter the roundabout and take the 1st exit onto McPherson Road, Distance: 261.3 meters, Time: 188.1 seconds
Name: -, Instruction: Turn left, Distance: 162.5 meters, Time: 117.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
