Name: Kurrajong Avenue, Instruction: Head east on Kurrajong Avenue, Distance: 24.8 meters, Time: 17.9 seconds
Name: Kurrajong Road, Instruction: Keep right onto Kurrajong Road, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Keep right, Distance: 261.3 meters, Time: 188.1 seconds
Name: -, Instruction: Turn slight left, Distance: 140.1 meters, Time: 100.9 seconds
Name: -, Instruction: Turn left, Distance: 33.0 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 44.8 meters, Time: 32.2 seconds
Name: -, Instruction: Turn right, Distance: 52.2 meters, Time: 37.6 seconds
Name: Innes Crescent, Instruction: Turn right onto Innes Crescent, Distance: 104.3 meters, Time: 75.1 seconds
Name: -, Instruction: Keep right, Distance: 875.6 meters, Time: 630.4 seconds
Name: -, Instruction: Turn right, Distance: 290.9 meters, Time: 209.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
