Name: Hill End Road, Instruction: Head northwest on Hill End Road, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn slight left, Distance: 716.2 meters, Time: 515.7 seconds
Name: -, Instruction: Keep left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 63.9 meters, Time: 46.0 seconds
Name: -, Instruction: Keep left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 62.7 meters, Time: 45.2 seconds
Name: -, Instruction: Keep right, Distance: 90.8 meters, Time: 65.4 seconds
Name: -, Instruction: Keep left, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight left, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn right, Distance: 354.3 meters, Time: 255.1 seconds
Name: -, Instruction: Keep left, Distance: 162.3 meters, Time: 116.9 seconds
Name: Woodcroft Drive, Instruction: Turn left onto Woodcroft Drive, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 301.8 meters, Time: 217.3 seconds
Name: -, Instruction: Turn slight left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: Tallagandra Drive, Instruction: Turn left onto Tallagandra Drive, Distance: 87.9 meters, Time: 63.3 seconds
Name: Brier Crescent, Instruction: Turn right onto Brier Crescent, Distance: 347.3 meters, Time: 250.1 seconds
Name: Crocus Place, Instruction: Turn right onto Crocus Place, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
