Name: Bedwin Road, Instruction: Head north on Bedwin Road, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn slight right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 372.8 meters, Time: 268.4 seconds
Name: -, Instruction: Turn slight left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Keep right, Distance: 635.3 meters, Time: 457.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 56.7 meters, Time: 40.8 seconds
Name: Cambridge Street, Instruction: Turn left onto Cambridge Street, Distance: 235.4 meters, Time: 169.5 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
