Name: Ettalong Street, Instruction: Head southeast on Ettalong Street, Distance: 304.0 meters, Time: 218.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 90.8 meters, Time: 65.4 seconds
Name: Hall Avenue, Instruction: Turn left onto Hall Avenue, Distance: 601.4 meters, Time: 433.0 seconds
Name: -, Instruction: Turn right, Distance: 94.4 meters, Time: 68.0 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 269.3 meters, Time: 193.9 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: Hilma Street, Instruction: Turn left onto Hilma Street, Distance: 209.5 meters, Time: 150.9 seconds
Name: Duncan Crescent, Instruction: Turn slight right onto Duncan Crescent, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Arrive at Duncan Crescent, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
