Name: Hampden Street, Instruction: Head northwest on Hampden Street, Distance: 43.7 meters, Time: 31.4 seconds
Name: Cecil Street, Instruction: Turn right onto Cecil Street, Distance: 104.7 meters, Time: 75.4 seconds
Name: -, Instruction: Turn left, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Keep right, Distance: 120.3 meters, Time: 86.6 seconds
Name: Cameron Street, Instruction: Turn left onto Cameron Street, Distance: 42.2 meters, Time: 30.4 seconds
Name: New McLean Street, Instruction: Turn left onto New McLean Street, Distance: 213.9 meters, Time: 154.0 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 68.0 meters, Time: 48.9 seconds
Name: -, Instruction: Turn left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 427.5 meters, Time: 307.8 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn slight left, Distance: 219.0 meters, Time: 157.7 seconds
Name: Eastbourne Road, Instruction: Turn right onto Eastbourne Road, Distance: 195.4 meters, Time: 140.7 seconds
Name: -, Instruction: Arrive at Eastbourne Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
