Name: Renway Avenue, Instruction: Head southeast on Renway Avenue, Distance: 4.2 meters, Time: 3.0 seconds
Name: Wayne Avenue, Instruction: Enter the roundabout and take the 3rd exit onto Wayne Avenue, Distance: 144.1 meters, Time: 103.8 seconds
Name: Wayne Avenue, Instruction: Turn left onto Wayne Avenue, Distance: 128.3 meters, Time: 92.3 seconds
Name: -, Instruction: Turn right, Distance: 105.3 meters, Time: 75.8 seconds
Name: -, Instruction: Continue straight, Distance: 111.9 meters, Time: 80.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Turn right, Distance: 226.8 meters, Time: 163.3 seconds
Name: -, Instruction: Turn slight left, Distance: 197.3 meters, Time: 142.1 seconds
Name: View Street, Instruction: Turn right onto View Street, Distance: 198.2 meters, Time: 142.7 seconds
Name: Brittany Place, Instruction: Turn right onto Brittany Place, Distance: 48.0 meters, Time: 34.6 seconds
Name: Rainbow Parade, Instruction: Turn left onto Rainbow Parade, Distance: 177.1 meters, Time: 127.5 seconds
Name: -, Instruction: Turn right, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
