Name: Western Road, Instruction: Head east on Western Road, Distance: 682.7 meters, Time: 491.5 seconds
Name: Langshaw Circuit, Instruction: Turn left onto Langshaw Circuit, Distance: 80.5 meters, Time: 57.9 seconds
Name: Langshaw Circuit, Instruction: Keep right onto Langshaw Circuit, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn right, Distance: 93.5 meters, Time: 67.3 seconds
Name: -, Instruction: Turn left, Distance: 304.2 meters, Time: 219.0 seconds
Name: David Road, Instruction: Turn left onto David Road, Distance: 24.0 meters, Time: 17.3 seconds
Name: Haven Court, Instruction: Turn right onto Haven Court, Distance: 332.8 meters, Time: 239.6 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 73.7 meters, Time: 53.0 seconds
Name: Ashford Road, Instruction: Turn right onto Ashford Road, Distance: 113.0 meters, Time: 81.4 seconds
Name: -, Instruction: Arrive at Ashford Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
