Name: Targo Road, Instruction: Head northeast on Targo Road, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 337.5 meters, Time: 243.0 seconds
Name: -, Instruction: Turn left, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: Beresford Road, Instruction: Turn right onto Beresford Road, Distance: 179.1 meters, Time: 129.0 seconds
Name: Beresford Road, Instruction: Enter the roundabout and take the 2nd exit onto Beresford Road, Distance: 225.2 meters, Time: 162.1 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 734.3 meters, Time: 528.7 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: Beresford Road, Instruction: Turn right onto Beresford Road, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at Beresford Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
