Name: Deerubbin Drive, Instruction: Head east on Deerubbin Drive, Distance: 161.6 meters, Time: 116.4 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 310.2 meters, Time: 223.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 89.3 meters, Time: 64.3 seconds
Name: -, Instruction: Turn left, Distance: 104.8 meters, Time: 75.4 seconds
Name: -, Instruction: Turn right, Distance: 168.0 meters, Time: 121.0 seconds
Name: -, Instruction: Turn right, Distance: 180.4 meters, Time: 129.9 seconds
Name: -, Instruction: Turn left, Distance: 80.6 meters, Time: 58.0 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn slight right, Distance: 213.0 meters, Time: 153.4 seconds
Name: -, Instruction: Turn right, Distance: 20.9 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: Middleridge Drive, Instruction: Turn left onto Middleridge Drive, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Arrive at Middleridge Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
