Name: Plymouth Avenue, Instruction: Head west on Plymouth Avenue, Distance: 188.2 meters, Time: 135.5 seconds
Name: Grace Street, Instruction: Turn left onto Grace Street, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 172.5 meters, Time: 124.2 seconds
Name: Montrose Avenue, Instruction: Turn left onto Montrose Avenue, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 91.5 meters, Time: 65.9 seconds
Name: Crawford Street, Instruction: Turn right onto Crawford Street, Distance: 24.8 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 100.4 meters, Time: 72.3 seconds
Name: Shaw Street, Instruction: Turn right onto Shaw Street, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 118.4 meters, Time: 85.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Harrison Street, Instruction: Turn left onto Harrison Street, Distance: 386.7 meters, Time: 278.4 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
