Name: Paul Lane Gardens, Instruction: Head east on Paul Lane Gardens, Distance: 65.8 meters, Time: 47.4 seconds
Name: -, Instruction: Turn right, Distance: 28.7 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Cameron Street, Instruction: Turn right onto Cameron Street, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 102.8 meters, Time: 74.0 seconds
Name: -, Instruction: Turn left, Distance: 63.3 meters, Time: 45.5 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 254.0 meters, Time: 182.9 seconds
Name: -, Instruction: Turn right, Distance: 37.3 meters, Time: 26.8 seconds
Name: -, Instruction: Turn left, Distance: 200.0 meters, Time: 144.0 seconds
Name: -, Instruction: Turn right, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn left, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: Nelson Street, Instruction: Turn left onto Nelson Street, Distance: 40.6 meters, Time: 29.3 seconds
Name: -, Instruction: Arrive at Nelson Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
