Name: Richmond Adelaide Centre Courtyard, Instruction: Head north on Richmond Adelaide Centre Courtyard, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 158.9 meters, Time: 114.4 seconds
Name: -, Instruction: Turn left, Distance: 86.9 meters, Time: 62.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Keep right, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Turn slight left, Distance: 125.2 meters, Time: 90.1 seconds
Name: -, Instruction: Keep left, Distance: 286.8 meters, Time: 206.5 seconds
Name: -, Instruction: Turn left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 91.5 meters, Time: 65.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
