Name: Dufferin Grove Park Trail, Instruction: Head south on Dufferin Grove Park Trail, Distance: 109.1 meters, Time: 78.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 127.4 meters, Time: 91.7 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Keep right, Distance: 98.3 meters, Time: 70.8 seconds
Name: -, Instruction: Keep left, Distance: 142.1 meters, Time: 102.3 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn slight left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight right, Distance: 86.2 meters, Time: 62.1 seconds
Name: -, Instruction: Keep left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn slight left, Distance: 119.7 meters, Time: 86.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
