Name: Indian Grove, Instruction: Head south on Indian Grove, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn right, Distance: 85.1 meters, Time: 61.3 seconds
Name: -, Instruction: Keep left, Distance: 28.0 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep right, Distance: 65.5 meters, Time: 47.1 seconds
Name: -, Instruction: Keep left, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight left, Distance: 95.4 meters, Time: 68.7 seconds
Name: -, Instruction: Keep left, Distance: 243.8 meters, Time: 175.5 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 281.4 meters, Time: 202.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
