Name: Bouchette Street, Instruction: Head northwest on Bouchette Street, Distance: 219.1 meters, Time: 157.7 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn slight right, Distance: 208.8 meters, Time: 150.4 seconds
Name: -, Instruction: Continue straight, Distance: 177.6 meters, Time: 127.9 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: Lake Shore Boulevard Recreational Trail, Instruction: Turn right onto Lake Shore Boulevard Recreational Trail, Distance: 29.9 meters, Time: 21.6 seconds
Name: Lake Shore Boulevard Recreational Trail, Instruction: Continue straight onto Lake Shore Boulevard Recreational Trail, Distance: 837.6 meters, Time: 603.1 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 94.5 meters, Time: 68.0 seconds
Name: -, Instruction: Turn right, Distance: 262.7 meters, Time: 189.1 seconds
Name: -, Instruction: Turn right, Distance: 228.5 meters, Time: 164.5 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 123.6 meters, Time: 89.0 seconds
Name: Memory Lane, Instruction: Turn right onto Memory Lane, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn left, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
