Name: Gunns Road, Instruction: Head southwest on Gunns Road, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 180.9 meters, Time: 130.2 seconds
Name: -, Instruction: Keep right, Distance: 256.1 meters, Time: 184.4 seconds
Name: -, Instruction: Turn slight left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 102.2 meters, Time: 73.6 seconds
Name: -, Instruction: Keep right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn slight right, Distance: 86.0 meters, Time: 61.9 seconds
Name: -, Instruction: Keep right, Distance: 97.8 meters, Time: 70.4 seconds
Name: -, Instruction: Keep right, Distance: 283.4 meters, Time: 204.1 seconds
Name: -, Instruction: Keep right, Distance: 148.7 meters, Time: 107.1 seconds
Name: -, Instruction: Keep left, Distance: 310.4 meters, Time: 223.5 seconds
Name: -, Instruction: Keep right, Distance: 161.6 meters, Time: 116.3 seconds
Name: Dennis Avenue, Instruction: Turn left onto Dennis Avenue, Distance: 253.9 meters, Time: 182.8 seconds
Name: -, Instruction: Arrive at Dennis Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
