Name: Glenburn Avenue, Instruction: Head north on Glenburn Avenue, Distance: 79.9 meters, Time: 57.5 seconds
Name: Holmstead Avenue, Instruction: Turn right onto Holmstead Avenue, Distance: 133.6 meters, Time: 96.2 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Turn left, Distance: 81.2 meters, Time: 58.5 seconds
Name: Peard Road, Instruction: Turn right onto Peard Road, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 1174.5 meters, Time: 845.6 seconds
Name: Southmead Road, Instruction: Turn right onto Southmead Road, Distance: 86.2 meters, Time: 62.1 seconds
Name: Engelhart Crescent, Instruction: Turn left onto Engelhart Crescent, Distance: 268.6 meters, Time: 193.4 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 132.6 meters, Time: 95.4 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 43.7 meters, Time: 31.5 seconds
Name: -, Instruction: Turn left, Distance: 155.2 meters, Time: 111.8 seconds
Name: -, Instruction: Keep right, Distance: 30.0 meters, Time: 21.6 seconds
Name: Eglinton Avenue East, Instruction: Turn right onto Eglinton Avenue East, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Arrive at Eglinton Avenue East, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
