Name: College Street, Instruction: Head east on College Street, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 43.8 meters, Time: 31.5 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.1 seconds
Name: Bellevue Avenue, Instruction: Turn right onto Bellevue Avenue, Distance: 437.1 meters, Time: 314.7 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: Wales Avenue, Instruction: Turn left onto Wales Avenue, Distance: 5.7 meters, Time: 4.1 seconds
Name: Denison Avenue, Instruction: Turn right onto Denison Avenue, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 128.9 meters, Time: 92.8 seconds
Name: -, Instruction: Turn left, Distance: 124.6 meters, Time: 89.7 seconds
Name: Vanauley Walk, Instruction: Turn right onto Vanauley Walk, Distance: 36.2 meters, Time: 26.1 seconds
Name: Vanauley Walk, Instruction: Keep left onto Vanauley Walk, Distance: 182.5 meters, Time: 131.4 seconds
Name: Napanee Court, Instruction: Turn left onto Napanee Court, Distance: 86.5 meters, Time: 62.3 seconds
Name: -, Instruction: Turn right, Distance: 93.1 meters, Time: 67.0 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Cameron Street, Instruction: Turn right onto Cameron Street, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 102.8 meters, Time: 74.0 seconds
Name: -, Instruction: Turn left, Distance: 63.3 meters, Time: 45.5 seconds
Name: -, Instruction: Turn right, Distance: 96.4 meters, Time: 69.4 seconds
Name: -, Instruction: Turn left, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn right, Distance: 594.6 meters, Time: 428.1 seconds
Name: Front Street West, Instruction: Turn right onto Front Street West, Distance: 7.9 meters, Time: 5.7 seconds
Name: Spadina Avenue, Instruction: Turn left onto Spadina Avenue, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Arrive at Spadina Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
