Name: Leader Lane, Instruction: Head south on Leader Lane, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 86.5 meters, Time: 62.3 seconds
Name: Victoria Street, Instruction: Turn right onto Victoria Street, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 452.9 meters, Time: 326.1 seconds
Name: -, Instruction: Continue straight, Distance: 67.1 meters, Time: 48.3 seconds
Name: -, Instruction: Turn left, Distance: 113.7 meters, Time: 81.8 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Turn slight left, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 279.3 meters, Time: 201.1 seconds
Name: -, Instruction: Turn left, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 88.4 meters, Time: 63.7 seconds
Name: -, Instruction: Turn left, Distance: 759.2 meters, Time: 546.6 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 63.3 meters, Time: 45.5 seconds
Name: -, Instruction: Turn right, Distance: 102.8 meters, Time: 74.0 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Cameron Street, Instruction: Turn right onto Cameron Street, Distance: 187.7 meters, Time: 135.2 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
