Name: Rosemount Avenue, Instruction: Head west on Rosemount Avenue, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 228.4 meters, Time: 164.5 seconds
Name: -, Instruction: Turn slight right, Distance: 117.3 meters, Time: 84.5 seconds
Name: -, Instruction: Turn left, Distance: 275.8 meters, Time: 198.6 seconds
Name: Westmount Avenue, Instruction: Turn right onto Westmount Avenue, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Turn left, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn right, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 231.2 meters, Time: 166.5 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 107.8 meters, Time: 77.6 seconds
Name: -, Instruction: Turn left, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: Sellers Avenue, Instruction: Turn right onto Sellers Avenue, Distance: 332.9 meters, Time: 239.7 seconds
Name: -, Instruction: Turn left, Distance: 44.1 meters, Time: 31.7 seconds
Name: Henry Andrade Lane, Instruction: Turn right onto Henry Andrade Lane, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn right, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: Day Avenue, Instruction: Turn right onto Day Avenue, Distance: 100.8 meters, Time: 72.6 seconds
Name: -, Instruction: Turn left, Distance: 48.9 meters, Time: 35.2 seconds
Name: Bloem Avenue, Instruction: Turn left onto Bloem Avenue, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 51.6 meters, Time: 37.2 seconds
Name: Boon Avenue, Instruction: Turn right onto Boon Avenue, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
