Name: Wynford Drive, Instruction: Head west on Wynford Drive, Distance: 0.9 meters, Time: 0.7 seconds
Name: -, Instruction: Turn left, Distance: 235.9 meters, Time: 169.8 seconds
Name: -, Instruction: Turn left, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn right, Distance: 259.8 meters, Time: 187.1 seconds
Name: -, Instruction: Keep right, Distance: 724.7 meters, Time: 521.8 seconds
Name: -, Instruction: Keep right, Distance: 573.0 meters, Time: 412.6 seconds
Name: Swift Drive, Instruction: Turn left onto Swift Drive, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 466.9 meters, Time: 336.2 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Eccleston Drive, Instruction: Turn right onto Eccleston Drive, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Arrive at Eccleston Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
