Name: Lytton Boulevard, Instruction: Head east on Lytton Boulevard, Distance: 905.3 meters, Time: 651.8 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Keep left, Distance: 197.5 meters, Time: 142.2 seconds
Name: -, Instruction: Turn right, Distance: 256.3 meters, Time: 184.5 seconds
Name: -, Instruction: Turn left, Distance: 254.3 meters, Time: 183.1 seconds
Name: Glenview Avenue, Instruction: Turn right onto Glenview Avenue, Distance: 3.9 meters, Time: 2.8 seconds
Name: Rosewell Avenue, Instruction: Turn left onto Rosewell Avenue, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 39.9 meters, Time: 28.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Keep left, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 0.5 meters, Time: 0.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
