Name: Caithness Avenue, Instruction: Head north on Caithness Avenue, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 39.4 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 63.3 meters, Time: 45.6 seconds
Name: -, Instruction: Keep left, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Strathmore Boulevard, Instruction: Turn right onto Strathmore Boulevard, Distance: 100.9 meters, Time: 72.7 seconds
Name: -, Instruction: Turn left, Distance: 146.1 meters, Time: 105.2 seconds
Name: -, Instruction: Keep right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 89.8 meters, Time: 64.6 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 249.4 meters, Time: 179.6 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 205.8 meters, Time: 148.2 seconds
Name: -, Instruction: Turn right, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Keep left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Leroy Avenue, Instruction: Turn left onto Leroy Avenue, Distance: 204.1 meters, Time: 146.9 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 79.3 meters, Time: 57.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 204.8 meters, Time: 147.4 seconds
Name: -, Instruction: Turn right, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 81.1 meters, Time: 58.4 seconds
Name: -, Instruction: Keep right, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Keep right, Distance: 17.4 meters, Time: 12.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
