Name: Mount Pleasant Road, Instruction: Head north on Mount Pleasant Road, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 332.7 meters, Time: 239.5 seconds
Name: -, Instruction: Turn left, Distance: 216.4 meters, Time: 155.8 seconds
Name: -, Instruction: Keep right, Distance: 159.0 meters, Time: 114.5 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 87.4 meters, Time: 62.9 seconds
Name: -, Instruction: Keep left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn slight left, Distance: 107.0 meters, Time: 77.1 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 236.7 meters, Time: 170.4 seconds
Name: -, Instruction: Keep right, Distance: 873.5 meters, Time: 628.9 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Duplex Avenue, Instruction: Turn right onto Duplex Avenue, Distance: 152.3 meters, Time: 109.7 seconds
Name: -, Instruction: Arrive at Duplex Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
